areaperil_id,lon,lat,IMTs
485,-71.35,18.4,SA(0.6)
486,-71.35,18.45,SA(0.6)
487,-71.35,18.5,SA(0.6)
488,-71.35,18.55,SA(0.6)
489,-71.35,18.6,SA(0.6)
490,-71.35,18.65,SA(0.6)
491,-71.35,18.7,SA(0.6)
492,-71.35,18.75,SA(0.6)
493,-71.35,18.8,SA(0.6)
494,-71.35,18.85,SA(0.6)
495,-71.35,18.9,SA(0.6)
496,-71.35,18.95,SA(0.6)
497,-71.35,19.0,SA(0.6)
498,-71.35,19.05,SA(0.6)
499,-71.35,19.1,SA(0.6)
500,-71.35,19.15,SA(0.6)
501,-71.35,19.2,SA(0.6)
502,-71.35,19.25,SA(0.6)
503,-71.35,19.3,SA(0.6)
504,-71.35,19.35,SA(0.6)
505,-71.35,19.4,SA(0.6)
506,-71.35,19.45,SA(0.6)
507,-71.35,19.5,SA(0.6)
508,-71.35,19.55,SA(0.6)
509,-71.35,19.6,SA(0.6)
510,-71.35,19.65,SA(0.6)
511,-71.35,19.7,SA(0.6)
512,-71.35,19.75,SA(0.6)
513,-71.35,19.8,SA(0.6)
514,-71.35,19.85,SA(0.6)
515,-71.35,19.9,SA(0.6)
516,-71.35,19.95,SA(0.6)
517,-71.3,17.6,SA(0.6)
518,-71.3,17.65,SA(0.6)
519,-71.3,17.7,SA(0.6)
520,-71.3,17.75,SA(0.6)
521,-71.3,17.8,SA(0.6)
522,-71.3,17.85,SA(0.6)
523,-71.3,17.9,SA(0.6)
524,-71.3,17.95,SA(0.6)
525,-71.3,18.0,SA(0.6)
526,-71.3,18.05,SA(0.6)
527,-71.3,18.1,SA(0.6)
528,-71.3,18.15,SA(0.6)
529,-71.3,18.2,SA(0.6)
530,-71.3,18.25,SA(0.6)
531,-71.3,18.3,SA(0.6)
532,-71.3,18.35,SA(0.6)
533,-71.3,18.4,SA(0.6)
534,-71.3,18.45,SA(0.6)
535,-71.3,18.5,SA(0.6)
536,-71.3,18.55,SA(0.6)
537,-71.3,18.6,SA(0.6)
538,-71.3,18.65,SA(0.6)
539,-71.3,18.7,SA(0.6)
540,-71.3,18.75,SA(0.6)
541,-71.3,18.8,SA(0.6)
542,-71.3,18.85,SA(0.6)
543,-71.3,18.9,SA(0.6)
544,-71.3,18.95,SA(0.6)
545,-71.3,19.0,SA(0.6)
546,-71.3,19.05,SA(0.6)
547,-71.3,19.1,SA(0.6)
548,-71.3,19.15,SA(0.6)
549,-71.3,19.2,SA(0.6)
550,-71.3,19.25,SA(0.6)
551,-71.3,19.3,SA(0.6)
552,-71.3,19.35,SA(0.6)
553,-71.3,19.4,SA(0.6)
554,-71.3,19.45,SA(0.6)
555,-71.3,19.5,SA(0.6)
556,-71.3,19.55,SA(0.6)
557,-71.3,19.6,SA(0.6)
558,-71.3,19.65,SA(0.6)
559,-71.3,19.7,SA(0.6)
560,-71.3,19.75,SA(0.6)
561,-71.3,19.8,SA(0.6)
562,-71.3,19.85,SA(0.6)
563,-71.3,19.9,SA(0.6)
564,-71.25,17.7,SA(0.6)
565,-71.25,17.75,SA(0.6)
566,-71.25,17.8,SA(0.6)
567,-71.25,17.85,SA(0.6)
568,-71.25,17.9,SA(0.6)
569,-71.25,17.95,SA(0.6)
570,-71.25,18.0,SA(0.6)
571,-71.25,18.05,SA(0.6)
572,-71.25,18.1,SA(0.6)
573,-71.25,18.15,SA(0.6)
574,-71.25,18.2,SA(0.6)
575,-71.25,18.25,SA(0.6)
576,-71.25,18.3,SA(0.6)
577,-71.25,18.35,SA(0.6)
578,-71.25,18.4,SA(0.6)
579,-71.25,18.45,SA(0.6)
580,-71.25,18.5,SA(0.6)
581,-71.25,18.55,SA(0.6)
582,-71.25,18.6,SA(0.6)
583,-71.25,18.65,SA(0.6)
584,-71.25,18.7,SA(0.6)
585,-71.25,18.75,SA(0.6)
586,-71.25,18.8,SA(0.6)
587,-71.25,18.85,SA(0.6)
588,-71.25,18.9,SA(0.6)
589,-71.25,18.95,SA(0.6)
590,-71.25,19.0,SA(0.6)
591,-71.25,19.05,SA(0.6)
592,-71.25,19.1,SA(0.6)
593,-71.25,19.15,SA(0.6)
594,-71.25,19.2,SA(0.6)
595,-71.25,19.25,SA(0.6)
596,-71.25,19.3,SA(0.6)
597,-71.25,19.35,SA(0.6)
598,-71.25,19.4,SA(0.6)
599,-71.25,19.45,SA(0.6)
600,-71.25,19.5,SA(0.6)
601,-71.25,19.55,SA(0.6)
602,-71.25,19.6,SA(0.6)
603,-71.25,19.65,SA(0.6)
604,-71.25,19.7,SA(0.6)
605,-71.25,19.75,SA(0.6)
606,-71.25,19.8,SA(0.6)
607,-71.25,19.85,SA(0.6)
608,-71.25,19.9,SA(0.6)
609,-71.2,17.8,SA(0.6)
610,-71.2,17.85,SA(0.6)
611,-71.2,17.9,SA(0.6)
612,-71.2,17.95,SA(0.6)
613,-71.2,18.0,SA(0.6)
614,-71.2,18.05,SA(0.6)
615,-71.2,18.1,SA(0.6)
616,-71.2,18.15,SA(0.6)
617,-71.2,18.2,SA(0.6)
618,-71.2,18.25,SA(0.6)
619,-71.2,18.3,SA(0.6)
620,-71.2,18.35,SA(0.6)
621,-71.2,18.4,SA(0.6)
622,-71.2,18.45,SA(0.6)
623,-71.2,18.5,SA(0.6)
624,-71.2,18.55,SA(0.6)
625,-71.2,18.6,SA(0.6)
626,-71.2,18.65,SA(0.6)
627,-71.2,18.7,SA(0.6)
628,-71.2,18.75,SA(0.6)
629,-71.2,18.8,SA(0.6)
630,-71.2,18.85,SA(0.6)
631,-71.2,18.9,SA(0.6)
632,-71.2,18.95,SA(0.6)
633,-71.2,19.0,SA(0.6)
634,-71.2,19.05,SA(0.6)
635,-71.2,19.1,SA(0.6)
636,-71.2,19.15,SA(0.6)
637,-71.2,19.2,SA(0.6)
638,-71.2,19.25,SA(0.6)
639,-71.2,19.3,SA(0.6)
640,-71.2,19.35,SA(0.6)
641,-71.2,19.4,SA(0.6)
642,-71.2,19.45,SA(0.6)
643,-71.2,19.5,SA(0.6)
644,-71.2,19.55,SA(0.6)
645,-71.2,19.6,SA(0.6)
646,-71.2,19.65,SA(0.6)
647,-71.2,19.7,SA(0.6)
648,-71.2,19.75,SA(0.6)
649,-71.2,19.8,SA(0.6)
650,-71.2,19.85,SA(0.6)
651,-71.2,19.9,SA(0.6)
652,-71.15,17.85,SA(0.6)
653,-71.15,17.9,SA(0.6)
654,-71.15,17.95,SA(0.6)
655,-71.15,18.0,SA(0.6)
656,-71.15,18.05,SA(0.6)
657,-71.15,18.1,SA(0.6)
658,-71.15,18.15,SA(0.6)
659,-71.15,18.2,SA(0.6)
660,-71.15,18.25,SA(0.6)
661,-71.15,18.3,SA(0.6)
662,-71.15,18.35,SA(0.6)
663,-71.15,18.4,SA(0.6)
664,-71.15,18.45,SA(0.6)
665,-71.15,18.5,SA(0.6)
666,-71.15,18.55,SA(0.6)
667,-71.15,18.6,SA(0.6)
668,-71.15,18.65,SA(0.6)
669,-71.15,18.7,SA(0.6)
670,-71.15,18.75,SA(0.6)
671,-71.15,18.8,SA(0.6)
672,-71.15,18.85,SA(0.6)
673,-71.15,18.9,SA(0.6)
674,-71.15,18.95,SA(0.6)
675,-71.15,19.0,SA(0.6)
676,-71.15,19.05,SA(0.6)
677,-71.15,19.1,SA(0.6)
678,-71.15,19.15,SA(0.6)
679,-71.15,19.2,SA(0.6)
680,-71.15,19.25,SA(0.6)
681,-71.15,19.3,SA(0.6)
682,-71.15,19.35,SA(0.6)
683,-71.15,19.4,SA(0.6)
684,-71.15,19.45,SA(0.6)
685,-71.15,19.5,SA(0.6)
686,-71.15,19.55,SA(0.6)
687,-71.15,19.6,SA(0.6)
688,-71.15,19.65,SA(0.6)
689,-71.15,19.7,SA(0.6)
690,-71.15,19.75,SA(0.6)
691,-71.15,19.8,SA(0.6)
692,-71.15,19.85,SA(0.6)
693,-71.15,19.9,SA(0.6)
694,-71.15,19.95,SA(0.6)
695,-71.1,17.9,SA(0.6)
696,-71.1,17.95,SA(0.6)
697,-71.1,18.0,SA(0.6)
698,-71.1,18.05,SA(0.6)
699,-71.1,18.1,SA(0.6)
700,-71.1,18.15,SA(0.6)
701,-71.1,18.2,SA(0.6)
702,-71.1,18.25,SA(0.6)
703,-71.1,18.3,SA(0.6)
704,-71.1,18.35,SA(0.6)
705,-71.1,18.4,SA(0.6)
706,-71.1,18.45,SA(0.6)
707,-71.1,18.5,SA(0.6)
708,-71.1,18.55,SA(0.6)
709,-71.1,18.6,SA(0.6)
710,-71.1,18.65,SA(0.6)
711,-71.1,18.7,SA(0.6)
712,-71.1,18.75,SA(0.6)
713,-71.1,18.8,SA(0.6)
714,-71.1,18.85,SA(0.6)
715,-71.1,18.9,SA(0.6)
716,-71.1,18.95,SA(0.6)
717,-71.1,19.0,SA(0.6)
718,-71.1,19.05,SA(0.6)
719,-71.1,19.1,SA(0.6)
720,-71.1,19.15,SA(0.6)
721,-71.1,19.2,SA(0.6)
722,-71.1,19.25,SA(0.6)
723,-71.1,19.3,SA(0.6)
724,-71.1,19.35,SA(0.6)
725,-71.1,19.4,SA(0.6)
726,-71.1,19.45,SA(0.6)
727,-71.1,19.5,SA(0.6)
728,-71.1,19.55,SA(0.6)
729,-71.1,19.6,SA(0.6)
730,-71.1,19.65,SA(0.6)
731,-71.1,19.7,SA(0.6)
732,-71.1,19.75,SA(0.6)
733,-71.1,19.8,SA(0.6)
